,bron_naam,type_bron,MWcapaciteit,capfactor,volfactor,status,Brontemperatuur,Uitkoppel_min,Uitkoppel_max,Productiekosten,targetGMC,xcor,ycor
385,Odfjell Terminals Rotterdam BV,Industrie,1.76,,,Optie B,80.0,200.0,200.0,2.0,,0.25680512860491767,0.41267219234971314
386,O-I Manufacturing Netherlands BV Leerdam,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.4574476446838532,0.4139057668557666
387,O-I Manufacturing Netherlands BV Maastricht,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6212525127897742,0.03625715664294262
388,O-I Manufacturing Netherlands BV Schiedam,Industrie,6.04,,,Optie B,80.0,200.0,200.0,2.0,,0.2796075756465513,0.42449009998390924
389,Ondergrondse aardgasopslag Zuidwending,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9303083980142786,0.855990504208321
390,Oostpolder,Gasmotor,5.0,,,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.36079493713173416,0.39571219205525704
391,Ovako Twente BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8541950088983266,0.5924277458400988
392,Oxea Nederland BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.3854231013676938,0.6044138681796658
393,Papierfabriek Doetinchem BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.7731217547377891,0.4414764868988157
394,Peka Kroef BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6249457865307961,0.32556665991558414
395,PFW Aroma Chemicals,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5862101533911801,0.515923038171894
396,Phoenix 3D,Industrie,21.0,0.5,0.5,Optie B,80.0,220.25454545454545,250.0,2.0090909090909093,,0.548870433189726,0.245799906294206
397,Phoenix BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6367635017865685,0.8023794881083425
398,Plaatijzerindustrie Apeldoorn,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6902988549326893,0.5260324121319305
399,Pluimveeslachterij GP Remkes BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.693520485065177,0.5816751980065853
400,Pluimveeslachterij Van den Bor BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5566981956603986,0.5298056988563292
401,Pluimveeverwerkingsbedrijf Jan van Ee BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6167034341139119,0.5198711362567762
402,Polskamp BV,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5936879867329402,0.5620699390119825
403,PPG Coatings,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.5430053167029538,0.4119564552699977
404,PPG Industries Chemicals BV,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.9417723805636503,0.9368786891988387
405,PPG Industries Fiber Glass BV,Industrie,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.8651683299517233,0.8889935697365839
406,PQ Silicas BV Eijsden,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6238009097068542,0.0035740288876401054
407,PQ Silicas BV Maastricht,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.6212829414096797,0.04462171532570044
408,PQ Silicas BV Winschoten,,0.0,,,Optie B,70.0,220.25454545454545,250.0,2.0090909090909093,,0.958926515035338,0.8770206407072421
