gemeente,Stadsverwarming,Totaal woningen,Woningen stadsverwarming
Vijfheerenlanden,0.0,23900,0.0
Vlaardingen,0.0,35460,0.0
Vlieland,0.0,585,0.0
Vlissingen,0.0,22919,0.0
Voerendaal,0.0,5845,0.0
Voorschoten,0.0,11510,0.0
Voorst,0.0,10694,0.0
Vught,0.0,11567,0.0
Waadhoeke,0.0,21263,0.0
Waalre,0.0,7769,0.0
Waalwijk,0.0,22060,0.0
Waddinxveen,0.0,12423,0.0
Wageningen,0.038,18101,688.0
Wassenaar,0.0,12299,0.0
Waterland,0.0,7363,0.0
Weert,0.0,23056,0.0
Weesp,0.0,9343,0.0
West Betuwe,0.0,20891,0.0
West Maas en Waal,0.0,8220,0.0
Westerkwartier,0.0,27375,0.0
Westerveld,0.0,8526,0.0
Westervoort,0.425,6728,2859.0
Westerwolde,0.0,11978,0.0
Westland,0.0,45239,0.0
Weststellingwerf,0.0,11704,0.0
Westvoorne,0.0,6887,0.0
Wierden,0.0,9886,0.0
Wijchen,0.0,18065,0.0
Wijdemeren,0.0,10703,0.0
Wijk bij Duurstede,0.0,10153,0.0
Winterswijk,0.0,13166,0.0
Woensdrecht,0.0,9933,0.0
Woerden,0.0,22208,0.0
Wormerland,0.0,7089,0.0
Woudenberg,0.0,5282,0.0
Zaanstad,0.0,69469,0.0
Zaltbommel,0.0,11654,0.0
Zandvoort,0.061,9673,590.0
Zeewolde,0.15,8727,1309.0
Zeist,0.0,29844,0.0
Zevenaar,0.031,20094,623.0
Zoetermeer,0.062,56462,3501.0
Zoeterwoude,0.0,3533,0.0
Zuidplas,0.0,18111,0.0
Zundert,0.0,9608,0.0
Zutphen,0.0,22422,0.0
Zwartewaterland,0.0,8972,0.0
Zwijndrecht,0.0,20547,0.0
Zwolle,0.0,58926,0.0
