gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
Berg en Dal,880.7472446236567,1203.1457286432164,1412.7300589390943,1327.9301356102421,1541.0843612334818,1714.7801970905634,1863.7802698145042,2209.405115712543,2184.559735349718,2222.443364928908,2422.130330330331
Bergeijk,1170.8937943262406,1541.075326560232,1914.3752095808368,1682.0857459379627,2012.4156591405686,2180.5300432276626,2367.6636363636353,2270.211870503596,2890.1812977099225,2700.7711111111107,2945.1525423728813
Bergen (L.),1205.2428571428582,1217.996061269146,1691.121908893708,1776.348765432098,1738.9768716577444,1910.457142857142,2230.8367938931287,2942.0440433212984,2629.1470588235293,2864.7286764705887,3028.668138801262
Bergen (NH.),1223.0405797101464,1341.2218905472694,1553.6948924731196,1435.8905691056932,1493.446916982424,1506.3261095700436,1936.8808219178072,1994.549436090226,2144.6586253369283,2291.128466386553,2546.4476550680756
Bergen op Zoom,916.2873424104854,1301.0062420382235,1318.4951977401133,1156.0584590517276,1409.1903106982686,1384.8894829482708,1541.0828229027948,1614.0966216216211,1806.1579028527374,1766.5865733113678,1961.391946778712
Berkelland,1047.3057591623046,1217.6410515135424,1434.045101959222,1521.5431435445064,1728.6944657534195,1774.8788657978187,1966.8846330275144,2112.644522144522,2455.222969543146,2407.59850628931,2671.5923620933513
Bernheze,1050.0106280193238,1291.5165035877335,1638.5118046132934,1554.7115455381802,1797.82821341957,1922.204730473046,2416.3176781002658,2091.9847305389217,2332.4004132231416,2333.479601990049,2588.7910416666655
Best,980.0497120921319,1283.5288583509507,1416.0234156820602,1374.374643011677,1631.6808677469926,1478.3692819148785,1834.4158640226603,1551.1296296296362,2256.4509433962253,2381.010909090909,2601.594047619047
Beuningen,1011.473372093025,1338.5826233183877,1461.4908256880726,1317.2847777422423,1625.0965346534722,1716.1271132376428,2077.043589743592,1863.6496688741731,2831.201234567901,2875.5071428571428,3188.8152083333343
Beverwijk,844.8970335675265,1025.1540051679553,894.3587622149877,997.9405310425719,1242.452589852003,1223.5053773585137,1203.2937431793446,1424.7431899641554,1608.1316742081408,1643.4527777777798,1566.5378743961412
Bladel,1095.656883116886,1325.8862100456686,1633.9757540603264,1650.7659269864,1951.496235418874,1862.7612558450228,2257.7883910386945,2323.423451327434,2710.495238095238,2888.548701298702,2584.031557377049
Blaricum,1230.0575379125755,2417.1378698224853,2389.806779661017,2221.1036231884073,1488.6093959731372,2022.589610389612,2176.8463888888896,2419.3403669724776,2468.8996805111838,2417.0417004048586,2845.0451923076917
Bloemendaal,1225.6448516579417,1181.2459107806678,1429.9457407407413,1520.0639470782876,1607.1832053742799,1710.6996710526275,1705.5501883948775,2118.5389162561573,2245.961674008811,2317.3914007571634,2667.522008862625
Bodegraven-Reeuwijk,980.016868327405,1170.2350262697043,1446.278920495988,1357.546827021497,1601.591726466856,1420.542069939953,1415.7356807511721,1624.1666666666663,1907.9182417582424,1848.6890909090898,2146.3392828035853
Boekel,1164.7476833976825,1223.4922948073734,1723.5218029350096,1592.2801038062296,1803.8052272727284,2384.9690140845055,2337.730268199232,2364.3025316455696,2679.0181102362203,2809.599090909092,2504.3519083969463
Borger-Odoorn,1242.9293969849255,1435.6869311551916,1587.1705793829917,1483.666693227089,1784.2549060542813,1740.847801009374,1943.6991596638666,1995.5185983827487,2486.0268376068407,2634.1842307692305,2666.8325198291623
Borne,1198.697069271758,1309.7537944284304,1415.5101200686074,1585.4202673796744,1783.574708377516,1659.4395555555518,1812.2139583333312,1820.4610687022898,2090.652043596729,2003.4918032786882,2513.064999999999
Borsele,1009.5781629116109,1369.4915985997666,1457.1903827281662,1414.234598012646,1622.2747907949783,1828.0438075742072,2025.2346774193552,1857.8160237388724,2299.4898843930605,2428.387184873948,2372.102631578947
Boxmeer,910.9676056337996,1375.5182027649778,1445.3402714932115,1357.981039603964,1807.435183639402,1846.469058553396,2100.0348813209494,2512.3665887850448,2423.6750000000015,2264.018622448979,2568.967162162163
Boxtel,955.7407120743023,1259.1090009000902,1434.0723320158108,1344.453684807259,1653.8775050534084,1645.1094547273603,1683.7093545369507,1830.8665615141947,2331.112648221345,2289.8593659942367,2037.387860082305
Breda,828.6265564050622,1029.8391762933243,1164.9718538981058,1163.1577090160974,1381.5387556823102,1444.7660994662888,1415.6521853146946,1602.7549129702495,1763.716093535069,1712.7707856597967,1814.8993941619246
Brielle,921.7040561622457,1007.4242749731486,1457.4469123505937,1208.2791443850253,1447.3635208711414,1449.2686913307648,1667.27234848485,1919.3888888888885,1829.3636363636356,2134.020652173913,1809.3270238095238
Bronckhorst,1130.4406249999981,1358.2266485998184,1477.4456246560362,1538.4778074866285,1800.6186500195042,1769.57954445906,1938.6302169035175,2117.0282115869018,2370.877317073171,2424.4962025316463,2767.167964205813
Brummen,1133.8236323851183,1033.6000000000024,1302.6575381679404,1289.3633012820496,1572.7385800401923,1468.9663392272423,1582.8990837696333,1486.825612472153,2071.0977528089875,2172.5043343653247,2440.0727962085316
Brunssum,936.1567272727269,1211.3637354651148,1317.1390037593997,1159.5099395936309,1510.6557592853806,1581.9804911323063,1772.7520976831563,1732.199443929565,2244.687560975608,1949.274621653083,1797.587650200271
Bunnik,1084.2080786026195,1119.4937853107333,1204.946794871794,1304.2253549695765,1660.770662695458,1685.6313650306683,1822.1651026392954,1839.0602564102567,1960.094240837697,2440.96618705036,2880.735371179041
Bunschoten,918.6580272822669,1081.2059210526363,1297.023647932129,1430.0397124887706,1536.704404824336,1482.8714169381094,1631.53503937008,1845.5578947368422,1758.8423423423426,1690.6612244897965,1750.8317391304365
Buren,1117.6812770562792,1442.5883877159358,1711.7997846374724,1757.1072924747912,1769.639509692132,1811.0716406829974,2007.1263005780336,2101.1493074792256,2332.098516320473,2371.3951530612253,2675.6277607361953
Capelle aan den IJssel,972.8360824742253,939.6481727574729,1098.754921700221,1033.967157765516,1199.4149483352778,1162.500550497608,1231.161288265308,1321.7802816901417,1520.421673003802,1680.3547344110855,2054.5717647058823
Castricum,1004.1857965451054,1164.7920032310192,1256.296637426897,1333.0133697135075,1549.540934065939,1538.1206219806913,1603.07369882026,1558.7057736720571,1951.4498132004971,1897.9270212765987,2050.7195895522373
Coevorden,1300.2466314398955,1524.9760244115091,1548.8571629873163,1618.778074866315,1711.2589499539454,1713.7095560253722,2017.2429035752969,2032.6164251207715,2523.7225621414914,2525.866666666667,2716.896653992397
Cranendonck,1291.2214457831324,1425.9609540636054,1667.5755252100835,1667.1807262569853,1864.4002732240378,1782.115714285716,2117.4402332361497,2135.0747747747755,2512.8021551724137,2724.4925287356305,2733.7989637305714
Cuijk,922.2229828850841,1320.1563139931764,1244.7373652694541,1410.2370600414092,1634.656366289671,1808.910827168799,1896.498780487804,1968.8789473684203,2669.3032051282057,2648.2759562841525,2927.4324503311277
Culemborg,954.0480263157901,1035.2437129300124,1236.3783695652141,1362.2848806366028,1387.5948076031657,1390.9229337712243,1564.8558185404354,1611.5032432432438,1601.3113022113027,1534.949848942598,1715.6601876675616
Dalfsen,1106.4414211438498,1438.9535846267543,1643.731381892439,1683.8946533490046,1954.87576438849,1905.1112787356344,1948.0486358244402,2218.8606741573035,2271.28216704289,2380.9894366197186,2549.332473622508
Dantumadiel,1211.0163580246915,1527.714772727274,1519.9103375527407,1646.946908734054,1639.4769938650406,1834.1437860082344,1805.3589494163423,1875.4583941605842,2184.0679245283022,2235.8911227154053,2688.633982947624
De Bilt,987.5871376811577,1384.9021791767618,1412.3844827586115,1271.1866720192716,1393.4564281872097,1472.6649146757647,1496.8261712439307,1803.244126074499,2099.4856269113156,2114.6758508914104,2342.1537349397577
