gemeente,Age0to9,Age10to19,Age20to29,Age30to39,Age40to49,Age50to59,Age60to69,Age70to79,Age80to89,Age90to99,Age100plus
Groningen,2377.98555161056,2932.0239527752483,2845.5364582700395,2521.439805876948,2639.554549341209,2520.387363717893,2287.795490647913,2232.130439543152,2354.449130114274,2463.3602171161074,2299.5554297757662
Gulpen-Wittem,3055.532949704144,3156.1927440191334,3373.7328845500665,3053.232554951023,3446.4691850774993,3293.4455165745576,3350.0307585692913,3350.47482183908,3489.667295138884,3472.3075144124055,3622.196726281358
Haaksbergen,3225.799406082294,3571.3581050175044,3522.2524151169246,3322.7242522996034,3311.808191795411,3149.0947334710872,3121.5372337821113,2884.2717527272684,3603.3871980906933,3662.9618520900244,3788.042220472432
Haaren,3039.396717049559,3457.9336236559107,3631.77272408963,3622.9305636550175,3850.1378248587403,3814.31716379308,3725.161000000005,3746.6623706293735,3917.891980263155,3917.1161024096355,4041.4078333333346
Haarlem,2641.144126433751,2612.1331160000104,2507.251389708402,2397.372440844021,2518.586356444543,2401.6110741938296,2432.477301184449,2616.391459610033,2846.417339806108,2769.1715422605275,2617.3223637175392
Haarlemmermeer,2934.9660786421678,3280.5555697128243,3001.974233480173,2907.8399902744422,3014.22931240595,3016.6784826049648,2825.98959732233,2998.687613740449,3194.299468660983,3239.471069023551,3285.6630291525294
Halderberge,3249.265756125998,3275.3388973322517,3494.016563522969,3224.2158346368765,3390.9873713995803,3252.617920465569,3220.861771148671,3295.8641062801976,3437.603764102558,3476.180597402586,3653.505493989039
Hardenberg,3341.1935725853186,3488.911087015637,3513.455038152047,3205.7049727361737,3429.3086557306215,3259.9392250078495,3513.9819802414904,3925.9498300349037,3968.395906532638,4088.522251467681,4179.185127608339
Harderwijk,3220.001395218,3188.0427086145946,3083.533986344121,2833.7190614897154,2888.920877873043,2911.7240166037905,3006.460094269866,2713.120239520951,3407.3162581453685,3286.508079710134,2890.7825138888857
Hardinxveld-Giessendam,3331.520848214286,2973.9662346521154,3448.9255215577173,3110.4901548672533,3111.738332114117,2940.3171937750994,3045.8387110016424,3313.5760355029606,3445.0649772209567,3547.8592356687914,3519.623152337856
Harlingen,2853.8759879807785,3149.8534778869493,3157.121739329281,2732.450809744756,2964.2769293785555,3030.511283060086,2712.4349809523687,2619.6379938650366,2790.0444675925955,2717.700174074075,3156.0220400604626
Hattem,3585.400650246315,3526.59225680933,3274.285782520338,3288.468206713796,3428.820384905624,3157.948790899214,3156.697666153851,3482.8223142857155,3900.0097031963514,3379.1522371134074,3366.8299847619046
Heemskerk,2843.738886060594,3168.6391642404565,2889.0086926345707,2943.5254181817827,2838.9149329838892,2629.0246583497783,2589.1871918604543,3092.7793139534897,3170.981380710659,3329.011626506026,3473.260022900766
Heemstede,2887.0484623217803,2833.806504611332,2428.8865977527944,2702.5657037507935,2745.611465923195,2652.2211716705197,2919.5386900489575,2864.2678470588216,3509.4905890804685,3278.9476283477866,3065.9993031914814
Heerde,3456.7825058593694,3408.6238736111063,3150.6637508731055,3290.6714395116487,3234.2711986143004,3266.041406666664,3405.475725806453,3599.7635596330256,3727.0123261904805,3802.6074376237643,3935.1560621848657
Heerenveen,3255.8377452830086,3441.5654983190457,3259.6153657066666,2768.5048469887915,2989.10499258893,2786.771658361969,2841.101121500539,3133.005327485381,3507.0761633428165,3556.0193830606186,3629.7257790023236
Heerhugowaard,3094.7540931496947,3139.6297787634016,3056.827934987231,2669.4753078260724,2969.3508218887255,3020.6772360595464,3464.3482205882333,3566.054411764706,3771.564352,3733.572310344827,3871.634431906616
Heerlen,2791.717439999996,2904.3587857918023,2752.5429443233356,2561.8250204465153,2692.135530572784,2703.190314536085,2607.669863292983,2895.5015066666997,3156.1965771016175,2905.705385689843,2895.9654592391353
Heeze-Leende,3381.196039867102,3699.728646774178,3597.628492603535,3389.803521739101,3589.4472363781592,3655.449482969409,3718.589090543261,3746.514072368425,3943.294603896105,4125.813351562502,3993.208348484839
Heiloo,2944.130860341141,2946.9268712011576,2892.0372811480456,2824.437963426351,3060.5242954773944,3075.6113734365717,3249.536997229915,3511.435354166666,3389.080798133011,3456.756403755859,3523.3810191256784
Hellendoorn,3491.2482701664517,3418.915329824559,3307.337836714499,3158.528221107923,3357.7318798534925,3280.501669638869,3389.76159342301,3270.231320454551,3736.7735069637856,3687.12748991354,3670.3379755351657
Hellevoetsluis,2936.6407534626073,3153.8316202457418,3018.541781957948,2836.099470251088,2846.3069799770724,2765.537191532241,2854.2032823529453,3005.5540062893087,3526.3058928571418,3847.524395604393,3445.053335714289
Helmond,3013.858206823761,3257.633095738462,3256.5985076878205,2939.590307754712,3038.893683043166,2902.765456517915,2867.0387342977756,2710.1439130434655,3137.834150092079,3113.5896675824138,3408.7949314455955
Hendrik-Ido-Ambacht,3262.947279856078,3358.2054958124627,3083.4524639917713,3020.128611333715,3194.0870797831153,2772.490079650086,2862.882923076933,3674.080642857143,3071.549073529411,3266.3267765957457,3478.82722857143
Hengelo,3130.995642331931,3227.8520674387264,3155.6870937989083,3019.5628378547476,3020.5975335872395,2646.2811301039405,2430.398794013648,2828.968723437487,3024.7331680092707,3019.2806628423746,3025.592425000026
Het Hogeland,3251.4619229691716,3354.3476625586986,3192.6190138504135,3021.387365889199,3119.3486501337247,3082.450710937491,3070.1606892655286,3281.590192015203,3682.7060435510884,3703.296940802057,3899.200527010918
Heumen,3161.767568245122,2998.662283105018,3167.5609169269073,3136.8516400831973,3349.109997210589,3421.171468108065,3444.773453571427,3652.1287600000014,3990.6230090909094,3826.2721965811975,4277.73484331797
